country,cases,deaths,recovered,,,,,,,,,,,,
USA,"26,50,473","1,28,513","10,94,562",,,,,,,,,,,,
Brazil,"13,45,470","57,659","7,33,848",,,,,,,,,,,,
Russia,"6,41,156","9,166","4,03,430",,,,,,,,,,,,
India,"5,62,457","16,797","3,29,728",,,,,,,,,,,,
UK,"3,11,965","43,575",No Data,,,,,,,,,,,,
Spain,"2,95,850","28,343",No  Data,,,,,,,,,,,,
Peru,"2,79,419","9,317","1,67,998",,,,,,,,,,,,
Chile,"2,71,982","5,509","2,32,210",,,,,,,,,,,,
Italy,"2,40,436","34,744","1,89,196",,,,,,,,,,,,
Iran,"2,25,205","10,670","1,86,180",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,USA,"26,50,473","13,396","1,28,513",76,"10,94,562","14,27,398","15,825","8,008",388,"3,26,92,780","98,772","33,09,91,690",,
2,Brazil,"13,45,470",216,"57,659",1,"7,33,848","5,53,963","8,318","6,330",271,"30,17,350","14,196","21,25,49,934",,
3,Russia,"6,41,156","6,719","9,166",93,"4,03,430","2,28,560","2,300","4,393",63,"1,93,34,442","1,32,487","14,59,34,278","33,09,75,810",
4,India,"5,62,457","13,260","16,797",310,"3,29,728","2,15,932","8,944",408,12,"83,98,362","6,086","1,37,99,00,425","21,25,37,568",
5,UK,"3,11,965",814,"43,575",25,N/A,N/A,276,"4,596",642,"92,90,215","1,36,854","6,78,84,107","14,59,33,767",
6,Spain,"2,95,850",,"28,343",,N/A,N/A,617,"6,328",606,"51,62,909","1,10,425","4,67,54,725","1,37,97,89,304",
7,Peru,"2,79,419",,"9,317",,"1,67,998","1,02,104","1,178","8,476",283,"16,45,112","49,901","3,29,67,364","6,78,81,190",
8,Chile,"2,71,982",,"5,509",,"2,32,210","34,263","2,090","14,229",288,"10,79,644","56,481","1,91,15,048","4,67,54,577",175103+D14:P2
9,Italy,"2,40,436",126,"34,744",6,"1,89,196","16,496",96,"3,977",575,"53,41,837","88,350","6,04,62,004","3,29,63,598",
10,Iran,"2,25,205","2,536","10,670",162,"1,86,180","28,355","3,037","2,682",127,"16,39,078","19,517","8,39,83,070","1,91,13,705",
